DISTRICT	DISTRICTNAME	CAMPUS	CAMPUSNAME	REGION	COUNTY	COUNTYNAME	TYPE	GRADES	RATING	HOURS11	HOURS12	HOURS13	ITEMS1	ITEMS2	ITEMS3
1902	CAYUGA ISD	1902001	CAYUGA H S	7	1	ANDERSON	S	09 - 12	A	20.4899	1.5078	6.1023	49826	73989	43244
1902	CAYUGA ISD	1902041	CAYUGA MIDDLE	7	1	ANDERSON	M	06 - 08	R	12.8997	1.352	1.8501	49898	63496	42505
1902	CAYUGA ISD	1902103	CAYUGA EL	7	1	ANDERSON	E	EE - 05	E	22.4628	2.2611	3	51659	59358	42965
1903	ELKHART ISD	1903001	ELKHART H S	7	1	ANDERSON	S	09 - 12	A	34.6672	1.6312	3.7737	47543	56113	43151
1903	ELKHART ISD	1903041	ELKHART MIDDLE	7	1	ANDERSON	M	06 - 08	A	23.5496	1	6.0689	45651	62313	41443
1903	ELKHART ISD	1903101	ELKHART EL	7	1	ANDERSON	E	EE - 05	R	45.5026	4	8.0018	39290	58521	40684
1904	FRANKSTON ISD	1904001	FRANKSTON H S	7	1	ANDERSON	S	09 - 12	A	22.0075	3	4.0117	46160	67178	40417
1904	FRANKSTON ISD	1904041	FRANKSTON MIDDLE	7	1	ANDERSON	M	06 - 08	A	17.7333	1	2.9878	37798	71340	40157
1904	FRANKSTON ISD	1904102	FRANKSTON EL	7	1	ANDERSON	E	EE - 05	E	29.8594	2	3.0001	46731	65880	42541
1906	NECHES ISD	1906002	NECHES H S	7	1	ANDERSON	S	09 - 12	A	8.5595	1.1262	2.3583	49101	60101	41565
1906	NECHES ISD	1906102	NECHES EL	7	1	ANDERSON	E	KG - 08	E	22.8143	0.5	4.4841	51047	60101	39833
1907	PALESTINE ISD	1907001	PALESTINE H S	7	1	ANDERSON	S	09 - 12	A	69.9271	4.8797	14.2624	52094	68323	42549
1907	PALESTINE ISD	1907041	PALESTINE MIDDLE	7	1	ANDERSON	M	06 - 08	L	50.8512	2.9405	14.7376	43346	64295	39899
1907	PALESTINE ISD	1907101	NORTHSIDE PRI	7	1	ANDERSON	E	KG - KG	X	22	2	8	30504	71946	40161
1907	PALESTINE ISD	1907102	WASHINGTON EARLY CHILDHOOD CENTER	7	1	ANDERSON	E	EE - PK	X	12.5	1	2.5	20225	71561	41556
1907	PALESTINE ISD	1907107	SOUTHSIDE EL	7	1	ANDERSON	E	01 - 02	A	36	3	7	42413	57686	41736
1907	PALESTINE ISD	1907110	STORY INT	7	1	ANDERSON	E	03 - 05	A	54.4776	4	14.9979	42721	57883	40617
1908	WESTWOOD ISD	1908002	WESTWOOD H S	7	1	ANDERSON	S	09 - 12	R	39.8298	2.8333	13.6263	51717	62324	39187
1908	WESTWOOD ISD	1908041	WESTWOOD J H	7	1	ANDERSON	M	07 - 08	R	24.5153	1.8333	7.0097	41570	65000	40028
1908	WESTWOOD ISD	1908101	WESTWOOD EL	7	1	ANDERSON	E	03 - 06	R	35.4806	2.5	7.193	41952	55373	39045
1908	WESTWOOD ISD	1908102	WESTWOOD PRI	7	1	ANDERSON	E	EE - 02	R	30.9116	1.8333	12.9108	45796	58333	38547
1909	SLOCUM ISD	1909001	SLOCUM H S	7	1	ANDERSON	B	06 - 12	E	19.6092	2	4.2847	45428	66500	44154
1909	SLOCUM ISD	1909101	SLOCUM EL	7	1	ANDERSON	E	EE - 05	R	18.8694	0	2.6939	.	56854	41685
2901	ANDREWS ISD	2901001	ANDREWS H S	18	2	ANDREWS	S	09 - 12	A	68.5897	6.0676	11.1215	63377	96798	59703
2901	ANDREWS ISD	2901002	ANDREWS EDUCATION CENTER	18	2	ANDREWS	S	09 - 12	1	3.4911	1	0.5421	79077	71000	53114
2901	ANDREWS ISD	2901041	ANDREWS MIDDLE	18	2	ANDREWS	M	06 - 08	A	50.1403	4.3822	8.7494	65262	79408	55991
2901	ANDREWS ISD	2901101	DEVONIAN EL	18	2	ANDREWS	E	02 - 03	R	35.5872	4	12.5889	67284	84599	52330
2901	ANDREWS ISD	2901104	UNDERWOOD EL	18	2	ANDREWS	E	04 - 05	A	36.8549	3.5598	9.0003	59895	88648	54214
2901	ANDREWS ISD	2901105	CLEARFORK EL	18	2	ANDREWS	E	EE - 01	R	40.9615	5	3.984	65334	91587	57741
3801	PINEYWOODS COMMUNITY ACADEMY	3801001	PINEYWOODS COMMUNITY ACADEMY H S	7	3	ANGELINA	S	07 - 10	A	10.4503	1.6417	6.0004	33898	52182	45613
3801	PINEYWOODS COMMUNITY ACADEMY	3801103	PINEYWOODS COMMUNITY ACADEMY EL	7	3	ANGELINA	E	PK - 06	A	24.9999	0	14	.	.	41987
3902	HUDSON ISD	3902001	HUDSON H S	7	3	ANGELINA	S	09 - 12	R	49.9512	5.9013	11.9994	49156	66908	43250
3902	HUDSON ISD	3902004	STUBBLEFIELD LRN CTR	7	3	ANGELINA	S	10 - 12	1	5.0006	1	2.0002	46667	84769	44858
3902	HUDSON ISD	3902041	HUDSON MIDDLE	7	3	ANGELINA	M	06 - 08	E	48.1899	4.2143	10.1988	48324	68685	43040
3902	HUDSON ISD	3902101	W F PEAVY PRIMARY	7	3	ANGELINA	E	EE - 02	R	40.5001	3	17.9998	39260	62913	40674
3902	HUDSON ISD	3902102	W H BONNER EL	7	3	ANGELINA	E	03 - 05	R	37.0553	5	7.5527	44094	64811	43334
3903	LUFKIN ISD	3903001	LUFKIN H S	7	3	ANGELINA	S	09 - 12	A	172.4888	21.5789	43.3069	50567	67306	44701
3903	LUFKIN ISD	3903004	STUBBLEFIELD LRN CTR	7	3	ANGELINA	S	09 - 12	1	.	.	.	.	.	.
3903	LUFKIN ISD	3903044	LUFKIN MIDDLE	7	3	ANGELINA	M	06 - 08	A	123.6662	11.7148	24.6929	54272	68805	44513
3903	LUFKIN ISD	3903120	ANDERSON EL	7	3	ANGELINA	E	02 - 05	E	23.4305	3.6325	4.9998	50270	79771	44208
3903	LUFKIN ISD	3903121	BRANDON EL	7	3	ANGELINA	E	03 - 05	A	32.9992	4.7628	8.9998	42164	68105	44452
3903	LUFKIN ISD	3903122	BROOKHOLLOW EL	7	3	ANGELINA	E	03 - 05	R	23.2502	3.6229	0.9999	48360	72980	48862
3903	LUFKIN ISD	3903123	COSTON EL	7	3	ANGELINA	E	03 - 05	A	21.6159	4.5576	1.0001	46629	80728	46889
3903	LUFKIN ISD	3903124	DUNBAR PRI	7	3	ANGELINA	E	01 - 02	A	21.0004	2.7628	2.0002	50824	65750	45673
3903	LUFKIN ISD	3903125	GARRETT PRI	7	3	ANGELINA	E	PK - KG	X	23.0001	1.6325	7	39176	59753	41810
3903	LUFKIN ISD	3903126	HACKNEY PRI	7	3	ANGELINA	E	PK - PK	X	13	1.5	10	43973	67203	40178
3903	LUFKIN ISD	3903127	HERTY PRI	7	3	ANGELINA	E	EE - 02	A	30.0478	3.7207	13.999	48708	64640	41782
3903	LUFKIN ISD	3903128	KURTH PRI	7	3	ANGELINA	E	PK - 02	E	23.693	2.3717	6.0003	50233	76200	44658
3903	LUFKIN ISD	3903129	SLACK EL	7	3	ANGELINA	E	03 - 05	R	31.0242	3.0663	6.0008	46961	67291	43558
3903	LUFKIN ISD	3903130	TROUT PRI	7	3	ANGELINA	E	EE - 02	R	30.416	3.2884	5	52156	79697	45698
3903	LUFKIN ISD	3903131	BURLEY PRI	7	3	ANGELINA	E	KG - 02	R	32.2859	3.2606	8.9991	44040	73250	43373
3903	LUFKIN ISD	3903140	STATE SCHOOL	7	3	ANGELINA	S	07 - 12	X	1.0976	1	0	61998	.	46237
3903	LUFKIN ISD	3903141	SPECIAL SERVICES	7	3	ANGELINA	E	EE - KG	X	1.3171	10	1	54488	64844	42773
3903	LUFKIN ISD	3903201	JUVENILE DETENT CTR	7	3	ANGELINA	S	08 - 11	X	0.5	0	0	.	.	55400
3904	HUNTINGTON ISD	3904001	HUNTINGTON H S	7	3	ANGELINA	S	09 - 12	A	39.1577	3.1095	12.6815	44359	60826	43127
3904	HUNTINGTON ISD	3904005	PRIDE ALTER SCH	7	3	ANGELINA	S	09 - 12	1	3	1.5	2	56553	.	46927
3904	HUNTINGTON ISD	3904041	HUNTINGTON MIDDLE	7	3	ANGELINA	M	06 - 08	R	28.924	2.5	6.551	50089	68217	41254
3904	HUNTINGTON ISD	3904101	HUNTINGTON EL	7	3	ANGELINA	E	EE - 03	R	34.9733	2.1095	10.0016	43180	65250	41153
3904	HUNTINGTON ISD	3904102	HUNTINGTON INT	7	3	ANGELINA	E	04 - 05	R	20.103	1.6095	8.8804	56097	68000	39102
3905	DIBOLL ISD	3905001	DIBOLL H S	7	3	ANGELINA	S	07 - 12	A	37.2248	3.2599	13.7633	47850	73400	44529
3905	DIBOLL ISD	3905004	STUBBLEFIELD LRN CTR	7	3	ANGELINA	S	09 - 12	1	.	.	.	.	.	.
3905	DIBOLL ISD	3905005	DIBOLL DAEP	7	3	ANGELINA	S	10 - 11	X	2	0	0	.	.	48800
3905	DIBOLL ISD	3905041	DIBOLL J H	7	3	ANGELINA	M	06 - 08	R	30.4687	3.2333	10.2383	40827	63750	43257
3905	DIBOLL ISD	3905101	TEMPLE EL	7	3	ANGELINA	E	02 - 07	A	41.968	3.8984	11.968	46898	57750	43431
3905	DIBOLL ISD	3905102	DIBOLL PRI	7	3	ANGELINA	E	EE - 01	A	29.8342	2.8235	8	48396	57250	42561
3906	ZAVALLA ISD	3906001	ZAVALLA H S	7	3	ANGELINA	B	06 - 12	A	20.338	2.5	2.3347	32256	62246	43399
3906	ZAVALLA ISD	3906101	ZAVALLA EL	7	3	ANGELINA	E	PK - 05	R	18.4888	1.5	4.4886	47720	71066	41463
3907	CENTRAL ISD	3907001	CENTRAL H S	7	3	ANGELINA	S	09 - 12	R	40.2691	3	9.7224	52213	64719	44146
3907	CENTRAL ISD	3907004	STUBBLEFIELD LRN CTR	7	3	ANGELINA	S	10 - 12	1	.	.	.	.	.	.
3907	CENTRAL ISD	3907041	CENTRAL J H	7	3	ANGELINA	M	06 - 08	R	28.2163	1	3.6566	49662	59893	44359
3907	CENTRAL ISD	3907102	CENTRAL EL	7	3	ANGELINA	E	EE - 05	E	45.6196	3	8.6215	47069	61343	44527
4901	ARANSAS COUNTY ISD	4901001	ROCKPORT-FULTON H S	2	4	ARANSAS	S	09 - 12	A	83.9998	7.2143	31.1227	48739	71718	44524
4901	ARANSAS COUNTY ISD	4901041	ROCKPORT-FULTON MIDDLE	2	4	ARANSAS	M	06 - 08	A	54.8127	4.0262	16.3163	45998	63375	43671
4901	ARANSAS COUNTY ISD	4901101	FULTON 4-5 LEARNING CENTER	2	4	ARANSAS	E	04 - 05	A	36.3253	3.5	4.9414	46000	62007	44746
4901	ARANSAS COUNTY ISD	4901102	LITTLE BAY PRIMARY SCHOOL	2	4	ARANSAS	E	EE - KG	X	20.9998	4	5	44575	63732	45013
4901	ARANSAS COUNTY ISD	4901103	LIVE OAK 1-3 LEARNING CENTER	2	4	ARANSAS	E	01 - 03	A	49.734	4.5	10.7332	45700	57933	44237
5901	ARCHER CITY ISD	5901001	ARCHER CITY H S	9	5	ARCHER	S	07 - 12	A	26.6244	1.9947	4.6535	43988	79600	44121
5901	ARCHER CITY ISD	5901101	ARCHER CITY EL	9	5	ARCHER	E	EE - 06	R	21.9163	1.9947	3.3468	47252	70600	41383
5902	HOLLIDAY ISD	5902001	HOLLIDAY H S	9	5	ARCHER	S	09 - 12	A	26.1573	1	5.0158	51242	74500	41617
5902	HOLLIDAY ISD	5902041	HOLLIDAY MIDDLE	9	5	ARCHER	M	06 - 08	A	15.7026	0	1.9848	.	65000	39643
5902	HOLLIDAY ISD	5902101	HOLLIDAY EL	9	5	ARCHER	E	EE - 05	R	27.1425	3	6.0001	44340	73500	37724
5904	WINDTHORST ISD	5904001	WINDTHORST H S	9	5	ARCHER	S	09 - 12	R	13.7121	0.5833	2.1423	49471	67775	43704
5904	WINDTHORST ISD	5904041	WINDTHORST JH	9	5	ARCHER	M	06 - 08	R	8.4363	0.5833	0.6076	49471	59981	44496
5904	WINDTHORST ISD	5904101	WINDTHORST EL	9	5	ARCHER	E	EE - 05	R	16.5001	0.5833	4.2513	49471	51770	39852
6902	CLAUDE ISD	6902001	CLAUDE H S	16	6	ARMSTRONG	B	06 - 12	A	22.2325	0.5	5.0014	50500	63750	42052
6902	CLAUDE ISD	6902101	CLAUDE EL	16	6	ARMSTRONG	E	PK - 05	R	14.8845	0.5	0	50500	66479	43034
7901	CHARLOTTE ISD	7901001	CHARLOTTE H S	20	7	ATASCOSA	S	09 - 12	L	16.1776	0.8333	2.5074	51449	68000	48867
7901	CHARLOTTE ISD	7901003	BIG FOOT ALT ED	20	7	ATASCOSA	B	06 - 11	X	.	.	.	.	.	.
7901	CHARLOTTE ISD	7901041	CHARLOTTE MIDDLE	20	7	ATASCOSA	M	05 - 08	L	9.9651	1.3333	1.5968	50008	66600	47896
7901	CHARLOTTE ISD	7901101	CHARLOTTE EL	20	7	ATASCOSA	E	PK - 04	L	17.2976	0.8333	4.896	48679	66500	46626
7902	JOURDANTON ISD	7902001	JOURDANTON H S	20	7	ATASCOSA	S	09 - 12	A	31.866	1.3333	9.3772	57401	73105	49871
7902	JOURDANTON ISD	7902002	BIGFOOT ALTER SCH	20	7	ATASCOSA	S	12 - 12	X	4.0006	1	0	55811	77588	49339
7902	JOURDANTON ISD	7902005	ATASCOSA COUNTY JUVENILE JUSTICE	20	7	ATASCOSA	S	07 - 10	X	1.5	0	0	.	.	49293
7902	JOURDANTON ISD	7902041	JOURDANTON J H	20	7	ATASCOSA	M	06 - 08	A	24.9591	1.3333	4.4709	58424	72635	48864
7902	JOURDANTON ISD	7902101	JOURDANTON EL	20	7	ATASCOSA	E	PK - 05	R	38.1528	2.3333	6.153	56556	71028	44700
7904	LYTLE ISD	7904001	LYTLE H S	20	7	ATASCOSA	S	09 - 12	A	37.7059	3.7714	10.8554	54231	64785	45174
7904	LYTLE ISD	7904002	BIGFOOT DAEP	20	7	ATASCOSA	B	06 - 10	X	.	.	.	.	.	.
7904	LYTLE ISD	7904041	LYTLE JUNIOR HIGH SCHOOL	20	7	ATASCOSA	M	06 - 08	A	31.1391	3.4287	14.775	51307	62512	42723
7904	LYTLE ISD	7904101	LYTLE EL	20	7	ATASCOSA	E	02 - 05	A	31.3718	3.4286	14.3723	50574	60500	43419
7904	LYTLE ISD	7904103	LYTLE PRIMARY SCHOOL	20	7	ATASCOSA	E	EE - 01	A	22.9466	2.1429	12.9465	55734	66492	42165
7905	PLEASANTON ISD	7905001	PLEASANTON H S	20	7	ATASCOSA	S	09 - 12	L	74.9624	5.9555	18.8071	56517	65651	46384
7905	PLEASANTON ISD	7905004	ATASCOSA CO ALTER	20	7	ATASCOSA	S	08 - 10	X	.	.	.	.	.	.
7905	PLEASANTON ISD	7905005	PLEASANTON ISD SCHOOL OF CHOICE	20	7	ATASCOSA	S	09 - 12	L	1.1111	0	0	.	89157	39440
7905	PLEASANTON ISD	7905006	FLORESVILLE ALT CTR	20	7	ATASCOSA	B	06 - 12	X	.	.	.	.	.	.
7905	PLEASANTON ISD	7905041	PLEASANTON J H	20	7	ATASCOSA	M	06 - 08	A	36.8634	2.907	14.9785	53651	66347	43437
7905	PLEASANTON ISD	7905102	PLEASANTON PRE-K CENTER	20	7	ATASCOSA	E	PK - PK	X	10.02	2.3333	6.02	56171	61868	44434
7905	PLEASANTON ISD	7905103	PLEASANTON EL	20	7	ATASCOSA	E	03 - 04	R	37.8454	2.2137	15.0024	54800	67826	43194
7905	PLEASANTON ISD	7905104	PLEASANTON INT	20	7	ATASCOSA	E	03 - 06	R	38.7482	2.5881	7.9177	49651	65665	44485
7905	PLEASANTON ISD	7905105	PLEASANTON PRI	20	7	ATASCOSA	E	EE - 02	R	51.4723	2.8541	21.284	45844	65391	42808
7906	POTEET ISD	7906001	POTEET H S	20	7	ATASCOSA	S	09 - 12	L	37.7936	5.7594	13.9773	46930	66909	44115
7906	POTEET ISD	7906041	POTEET J H	20	7	ATASCOSA	M	06 - 08	L	24.7813	1.5126	9.6307	50832	61250	40264
7906	POTEET ISD	7906101	POTEET EL	20	7	ATASCOSA	E	EE - 03	R	37.6337	1.5	7.001	47745	61104	44103
7906	POTEET ISD	7906102	POTEET INT	20	7	ATASCOSA	E	04 - 05	R	18.8351	1	6.9999	44763	53175	42028
8901	BELLVILLE ISD	8901001	BELLVILLE H S	6	8	AUSTIN	S	09 - 12	A	55.7354	3.828	12.3303	51090	66606	45585
8901	BELLVILLE ISD	8901041	BELLVILLE J H	6	8	AUSTIN	M	06 - 08	A	39.7093	3.5	6.6716	49930	59753	45236
8901	BELLVILLE ISD	8901101	O'BRYANT PRI	6	8	AUSTIN	E	EE - 03	E	38.9996	3.429	5	51396	66818	44071
8901	BELLVILLE ISD	8901102	O'BRYANT INT	6	8	AUSTIN	E	04 - 05	R	20.4991	1.6713	3.9997	43003	63351	43690
8901	BELLVILLE ISD	8901105	WEST END EL	6	8	AUSTIN	E	KG - 05	E	13.9997	1.6549	2.9998	42860	75090	43987
8902	SEALY ISD	8902001	SEALY H S	6	8	AUSTIN	S	09 - 12	A	61.9565	8.5045	14.7728	57542	75024	48779
8902	SEALY ISD	8902041	SEALY J H	6	8	AUSTIN	M	06 - 08	A	44.1818	2	7.9997	57383	69089	47890
8902	SEALY ISD	8902102	SELMAN EL	6	8	AUSTIN	E	EE - 03	A	56.4215	3	16.0009	57744	66817	46804
8902	SEALY ISD	8902103	SELMAN INT	6	8	AUSTIN	E	04 - 05	A	33.2718	2	10.0016	57383	59101	47184
8903	BRAZOS ISD	8903001	BRAZOS H S	6	8	AUSTIN	S	09 - 12	R	24.7959	2	5.5518	62653	97260	46109
8903	BRAZOS ISD	8903041	BRAZOS MIDDLE	6	8	AUSTIN	M	06 - 08	R	16.718	0.6705	2.1606	58100	66232	46520
8903	BRAZOS ISD	8903102	BRAZOS EL	6	8	AUSTIN	E	PK - 05	A	24.419	2	3.2884	61063	57650	46178
9901	MULESHOE ISD	9901001	MULESHOE H S	17	9	BAILEY	S	09 - 12	A	35.5273	2.7876	7.9998	42062	51727	42238
9901	MULESHOE ISD	9901002	P E P	17	9	BAILEY	S	09 - 12	1	.	.	.	.	.	.
9901	MULESHOE ISD	9901041	WATSON J H	17	9	BAILEY	M	06 - 08	A	26.8888	1.775	9.0019	39508	67500	41698
9901	MULESHOE ISD	9901101	MARY DESHAZO EL	17	9	BAILEY	E	03 - 05	R	28.0009	2.3859	7.0003	49650	75000	40109
9901	MULESHOE ISD	9901103	DILLMAN EL	17	9	BAILEY	E	EE - 02	R	31	3.3015	9	47691	69345	41618
10901	MEDINA ISD	10901001	MEDINA H S	20	10	BANDERA	S	07 - 12	A	22.8951	0	5.9989	.	70366	40440
10901	MEDINA ISD	10901101	MEDINA EL	20	10	BANDERA	E	PK - 06	R	16.106	0	2	.	70606	41945
10902	BANDERA ISD	10902001	BANDERA H S	20	10	BANDERA	S	09 - 12	A	60.3546	5.619	11.6621	59645	72625	50108
10902	BANDERA ISD	10902041	BANDERA MIDDLE	20	10	BANDERA	M	06 - 08	R	42.5879	4.3333	11.3386	61762	66635	49928
10902	BANDERA ISD	10902101	ALKEK EL	20	10	BANDERA	E	EE - 05	A	45.0016	4	11.0005	56755	62468	48934
10902	BANDERA ISD	10902102	HILL COUNTRY EL	20	10	BANDERA	E	EE - 05	R	40.0013	5	6.0001	61760	62945	49453
11901	BASTROP ISD	11901001	BASTROP H S	13	11	BASTROP	S	09 - 12	L	129.1867	10.283	33.1077	55239	75601	47657
11901	BASTROP ISD	11901002	CEDAR CREEK H S	13	11	BASTROP	S	09 - 12	L	37.6684	3.6423	9.7685	56834	72750	46137
11901	BASTROP ISD	11901022	GENESIS H S	13	11	BASTROP	S	09 - 12	1	6.1428	0	2.002	.	68770	48442
11901	BASTROP ISD	11901033	GATEWAY SCH	13	11	BASTROP	B	06 - 12	X	9.0003	1	1.0002	55825	73768	52083
11901	BASTROP ISD	11901041	BASTROP MIDDLE	13	11	BASTROP	M	07 - 08	A	44.9517	4.0952	16.058	56663	74961	46627
11901	BASTROP ISD	11901101	EMILE EL	13	11	BASTROP	E	EE - 04	R	38.4159	5.227	5.9999	54161	68197	49263
11901	BASTROP ISD	11901102	MINA EL	13	11	BASTROP	E	EE - 04	R	40.7624	3.5119	6.0002	49918	66190	48542
11901	BASTROP ISD	11901103	CEDAR CREEK EL	13	11	BASTROP	E	EE - 04	R	50.6188	6.4113	15.9998	50894	83741	45243
11901	BASTROP ISD	11901104	BASTROP INT	13	11	BASTROP	M	05 - 06	A	42.86	4.0168	9.0734	54646	66077	48777
11901	BASTROP ISD	11901106	CEDAR CREEK MIDDLE	13	11	BASTROP	M	07 - 08	A	45.1549	4.5303	13.2341	54248	77653	45962
11901	BASTROP ISD	11901107	RED ROCK EL	13	11	BASTROP	E	EE - 04	R	40.4278	4.7835	8.9997	47589	66594	45954
11901	BASTROP ISD	11901108	CEDAR CREEK INTERMEDIATE SCHOOL	13	11	BASTROP	M	05 - 06	R	43.0398	3.5833	9.296	48053	69999	46938
11901	BASTROP ISD	11901109	BLUEBONNET EL SCHOOL	13	11	BASTROP	E	PK - 04	A	41.378	4.5429	11.9989	52067	72036	47242
11901	BASTROP ISD	11901110	LOST PINES EL	13	11	BASTROP	E	EE - 04	R	47.0289	5.8333	12.4997	50572	72273	47174
11902	ELGIN ISD	11902001	ELGIN H S	13	11	BASTROP	S	09 - 12	A	68.9925	6.3728	22.7759	54127	69922	47507
11902	ELGIN ISD	11902004	PHOENIX H S	13	11	BASTROP	S	09 - 12	1	3.4463	0	0.54	.	76310	60523
11902	ELGIN ISD	11902041	ELGIN MIDDLE	13	11	BASTROP	M	06 - 08	L	53.5714	4.9035	22.2243	50044	64660	46801
11902	ELGIN ISD	11902101	BOOKER T WASHINGTON EL	13	11	BASTROP	E	KG - 05	R	40.1811	3.6404	8.5002	58139	68802	48149
11902	ELGIN ISD	11902102	ELGIN EL NORTH	13	11	BASTROP	E	EE - 02	R	28.8985	3.6667	12	56046	60053	45430
11902	ELGIN ISD	11902103	NEIDIG EL	13	11	BASTROP	E	KG - 05	A	38.3348	4.1667	10.5	56420	67552	45795
11902	ELGIN ISD	11902104	ELGIN EL SOUTH	13	11	BASTROP	E	03 - 05	R	20.2253	0.6667	10	49586	53386	44229
11904	SMITHVILLE ISD	11904002	SMITHVILLE H S	13	11	BASTROP	S	09 - 12	A	42.4556	5	11.0002	40360	53405	43951
11904	SMITHVILLE ISD	11904041	SMITHVILLE J H	13	11	BASTROP	M	06 - 08	A	29.2982	4.27	10	50670	77816	43100
11904	SMITHVILLE ISD	11904101	SMITHVILLE EL	13	11	BASTROP	E	03 - 05	L	28.9995	1.5	4.9999	48262	57712	43895
11904	SMITHVILLE ISD	11904102	BROWN PRI	13	11	BASTROP	E	EE - 02	L	29.8212	4	4	43672	60932	46176
11905	MCDADE ISD	11905101	MCDADE EL	13	11	BASTROP	E	PK - 08	A	15.6194	2	5.0001	54136	57000	39471
12901	SEYMOUR ISD	12901001	SEYMOUR H S	9	12	BAYLOR	S	09 - 12	A	21.0986	3.2857	4.212	48051	70747	42818
12901	SEYMOUR ISD	12901042	SEYMOUR MIDDLE	9	12	BAYLOR	M	05 - 08	R	12.6666	0	0.4419	.	69842	45765
12901	SEYMOUR ISD	12901101	SEYMOUR EL	9	12	BAYLOR	E	EE - 04	E	19.3469	1.5	5.3467	46491	64000	41510
13801	ST MARY'S ACADEMY CHARTER SCHOOL	13801101	ST MARY'S ACADEMY CHARTER SCHOOL	2	13	BEE	E	KG - 06	E	24.0383	2.4221	6.9999	47249	54279	36614
13901	BEEVILLE ISD	13901001	A C JONES H S	2	13	BEE	S	09 - 12	L	69.9935	8.9947	23.0035	47416	73717	43430
13901	BEEVILLE ISD	13901002	THE ACADEMY AT MADDERRA	2	13	BEE	S	10 - 12	1	2	1	0	57933	92918	48441
13901	BEEVILLE ISD	13901041	MORENO MIDDLE SCHOOL	2	13	BEE	M	06 - 08	A	53.3676	8.3515	16.9999	53185	60617	43389
13901	BEEVILLE ISD	13901101	R A HALL ELEMENTARY	2	13	BEE	E	01 - 05	R	25.5003	3.2457	5	43517	62483	45878
13901	BEEVILLE ISD	13901102	FADDEN-MCKEOWN-CHAMBLISS ELEMENTAR	2	13	BEE	E	01 - 05	R	29.2778	5.3975	3	57424	64689	46515
13901	BEEVILLE ISD	13901104	THOMAS JEFFERSON EL	2	13	BEE	E	01 - 05	A	29	1.754	11	36210	76419	43612
13901	BEEVILLE ISD	13901105	HAMPTON-MORENO-DUGAT EARLY CHILDHO	2	13	BEE	E	EE - KG	X	19.8972	2.9947	3	43415	59350	45839
13902	PAWNEE ISD	13902101	PAWNEE EL / J H	2	13	BEE	E	PK - 08	R	12.9999	1	2.0001	33872	63240	41008
13903	PETTUS ISD	13903001	PETTUS H S	2	13	BEE	B	06 - 12	A	21.8654	2.5	4.0002	56278	67962	41917
13903	PETTUS ISD	13903101	PETTUS EL	2	13	BEE	E	PK - 05	A	14.8507	2.5	3	38275	56838	44015
13905	SKIDMORE-TYNAN ISD	13905001	SKIDMORE-TYNAN H S	2	13	BEE	S	09 - 12	R	27.066	0.7709	5.5229	52508	84662	48179
13905	SKIDMORE-TYNAN ISD	13905041	SKIDMORE-TYNAN J H	2	13	BEE	M	06 - 08	R	13.8332	1.6666	7.4784	54250	74635	43347
13905	SKIDMORE-TYNAN ISD	13905101	SKIDMORE-TYNAN EL	2	13	BEE	E	EE - 05	E	23.9986	1.6666	4.9996	49347	74881	45592
14801	RICHARD MILBURN ALTER HIGH SCHOOL	14801001	RICHARD MILBURN ALTER H S (KILLEEN	12	14	BELL	S	09 - 12	1	11.7998	2	2.4775	44087	78749	42744
14802	TRANSFORMATIVE CHARTER ACADEMY	14802001	TRANSFORMATIVE CHARTER ACADEMY	12	14	BELL	S	09 - 12	1	4.8883	1	1	46240	.	40352
14803	TEMPLE EDUCATION CENTER	14803101	TEMPLE EDUCATION CENTER	12	14	BELL	B	PK - 12	1	11.5706	0	6.5711	.	56317	37087
14804	ORENDA CHARTER SCHOOL	14804002	NEW HORIZONS	12	14	BELL	B	02 - 11	1	7.0006	0.5	5.0013	52500	42242	48425
14804	ORENDA CHARTER SCHOOL	14804003	WILLIAMS HOUSE	12	14	BELL	B	KG - 12	1	3.0022	0.5	3.0022	52500	31204	47664
14804	ORENDA CHARTER SCHOOL	14804004	CANYON LAKES	12	14	BELL	B	04 - 11	1	3.7499	0	1.7493	.	31135	48211
14804	ORENDA CHARTER SCHOOL	14804005	GATEWAY H S	12	14	BELL	S	09 - 12	L	0.9998	0.5	0	53000	53976	52238
14804	ORENDA CHARTER SCHOOL	14804006	GATEWAY COLLEGE PREPARATORY SCHOOL	12	14	BELL	B	06 - 11	R	14.8774	1.5	4.0005	34892	80232	47228
14901	ACADEMY ISD	14901001	ACADEMY H S	12	14	BELL	S	09 - 12	R	29.9248	1.8762	4.9997	50071	61433	46444
14901	ACADEMY ISD	14901041	ACADEMY J H	12	14	BELL	M	05 - 08	R	24.5681	1.3333	2	54153	73546	46673
14901	ACADEMY ISD	14901101	ACADEMY EL	12	14	BELL	E	EE - 04	A	25.9975	1.3333	1.9998	52906	73062	46164
14902	BARTLETT ISD	14902001	BARTLETT SCHOOLS	13	14	BELL	B	PK - 12	A	35.5007	1.8877	16.0008	47206	62163	37157
14903	BELTON ISD	14903001	BELTON H S	12	14	BELL	S	09 - 12	A	168.7848	19.3282	45.6293	59476	79361	47025
14903	BELTON ISD	14903005	HENRY T WASKOW H S	12	14	BELL	S	09 - 12	1	10.9996	2	1	64151	71694	47162
14903	BELTON ISD	14903006	BELL CO J J A E P	12	14	BELL	S	11 - 11	X	.	.	.	.	.	.
